Fp1,Fp2,F7,F3,Fz,F4,F8,FC5,FC1,FC2,FC6,Frequência
(589.1291024922898+0j),(-431.2298877489875+0j),(47.55829377865562+0j),(400.17021495530923+0j),(288.9910338035495+0j),(-743.9353811388177+0j),(205.26956432659887+0j),(-754.5344818625549+0j),(-170.06817206405137+0j),(-499.81444093812036+0j),(-65.35654274009286+0j),0.0
(-272.6563372543679+211.09828716869293j),(322.6824744142326+320.7884354888335j),(-158.10343190468643-162.19231193157736j),(241.45499981956476-230.54464080825286j),(-3.2280000753842657-405.78045711343054j),(258.6555722830114+366.1502118391405j),(369.9222771025309-83.72813045346939j),(-653.0740475016095+65.17454635339118j),(180.3122417129892+132.9485162108627j),(-117.21525511014559-201.58277757860478j),(53.87014807043816+129.7906012487427j),0.1
(236.47942374378744-407.0691128014406j),(-521.4224463891767-146.8112975882255j),(458.13741654431993-413.6891095946447j),(799.9522460122959-450.86297172066446j),(-91.91682733906657+64.22007254097942j),(56.93756094854877-293.46375790771646j),(254.29178444320584-136.4183987481398j),(73.3810036983202+149.49168280421262j),(-91.41369112705536+171.02297170324061j),(-94.9657711910196+24.52748567631247j),(219.74890448750807-198.01174214899294j),0.2
(-183.6658255084827+180.58530433401648j),(322.50848631551776-98.862248458757j),(-74.23031731358721+79.50152782133132j),(326.7379904329612-8.942429816769334j),(174.4971396893131+401.2745165247523j),(-227.04554899258125-260.0199033359308j),(201.4106945553448+215.55460794397953j),(-516.6130132564997+196.0068853648187j),(-234.61132136035806-122.96215126484843j),(-127.016809147991-82.69890096422813j),(-32.46314899376061-73.56491464172281j),0.30000000000000004
(171.9790287589596-314.3489678017952j),(129.13182240050222+222.62495538031544j),(-18.30984339310288-28.34528709123952j),(603.4680331607688-156.863987713273j),(-110.98213027163932-174.02824867847843j),(-209.4105641157177-157.45575044059183j),(-95.9585075210941-49.7359571116091j),(-182.7245394775509-384.2329165555322j),(-229.22988345624478-64.38705819988448j),(7.716447084865635+149.11884057212623j),(-387.61842003454615+587.1382824751497j),0.4
(84.70839164269614-1.1734003287284906j),(-49.14614748065989-123.06006920046028j),(264.73205009739723+448.6736589237783j),(240.33487183938894-457.77869622551975j),(140.92183506022903+406.0008333738431j),(-116.86535933054482-41.154430618192286j),(-37.03257378500217+79.61283618243984j),(-656.2518820872374+156.5409598405966j),(-168.09113702472112-94.95955731287259j),(488.11094542362105-147.17896943477456j),(-206.31506967652928-27.91111744458193j),0.5
(476.31549336613074+152.7379098285964j),(-155.3856227305805-124.77451634052859j),(-190.32193434665774+191.350242027579j),(155.82881919191186-1507.7795759096766j),(102.86262691690779+129.20193853433415j),(275.45342954378054+137.6022757387379j),(-383.1347242530404-102.92746064333977j),(281.6973543073441-929.4949035433684j),(62.04054113431094-192.69916452789283j),(402.7387485443114-10.285770906945164j),(260.06259399267356-38.46885720411072j),0.6000000000000001
(-87.13022894951617-242.5094585569468j),(-320.55043182386345+79.42662954145442j),(301.11915517209-469.9658526053052j),(8000.31674909649-126180.32997998447j),(-71.33146691920624-10.905107468905607j),(-97.78638858481531-306.9287920871965j),(-135.64600846195898+5.3744012982585545j),(-100.88048421523307-118.74123704838375j),(-167.11029057945794-55.79031742100755j),(-49.53870863521241+106.68908391967932j),(-495.26288482215506+43.71545330393635j),0.7000000000000001
(232.37225945462194-93.13834940312472j),(379.59384516513524+267.83032129856235j),(449.7399367152113+33.06571502291485j),(298.20835400645547+4175.846244090944j),(-327.4941438650038+141.2536789403037j),(-385.67221162257346-137.7464073569011j),(-554.2543351347324-102.05368163946515j),(411.77756350789895-321.90522914313635j),(-317.73064678531824-44.87123566542242j),(-199.6877043396762+198.0197323459365j),(221.64244499949598-319.56197180429194j),0.8
(-448.87077817213697-203.66428664655527j),(-1.624179005146269+137.72804521452312j),(-381.9194908121319+470.2534169170922j),(594.142586079251+3642.4997206021503j),(102.65321041920049-15.295412100934051j),(698.6251196729488-215.81637564297642j),(146.57256053587804+182.83387229258005j),(101.42439467456612+69.65259512348985j),(43.58210503482552-44.51332729858992j),(104.17181784769454+221.24720421457j),(-150.99753235065216-367.4022291533479j),0.9
(288.34084648291673-683.9405005352178j),(189.84488573442746+133.34845829087368j),(363.2892359463516+175.83286124020867j),(1182.6087202550464+6413.681819899091j),(-39.61157832144971+126.57847230207858j),(4.304748155123865-225.0134990742627j),(191.82300523712752-218.85857452439018j),(-339.18113918990946+109.2566700058039j),(-2.7551328673712376+206.45154295861653j),(-54.76083399647791+231.95942594930068j),(-480.20937998025573+33.58139702796848j),1.0
(292.7935697828224-113.81761706611266j),(-673.7870296415122-64589.72858566603j),(140.13464681783134+170.5772960058867j),(-16479.262046662712-60161.73930179206j),(-154.81431411239046+20.013442844821306j),(-124.32635586431707-227.05388844272863j),(71.8017250443111+221.91292667022213j),(157.25552806781718+189.82105768232748j),(184.86948277072568+130.43122837240253j),(336.96865473273994-79.56750620259821j),(-46.56021793222737+115.35625180792124j),1.1
(-288.06726143397316-156.86065935349075j),(545.1005744766371-721.6611783086761j),(-75.40870199338349-630.274605787054j),(-1392.5044275460777-4417.800164581506j),(-125.89338815120699+21.34250488150581j),(167.64016978418343+281.8328720244782j),(660.1345612085877+95.93923770200233j),(180.8219040780979+346.98887175803645j),(134.2935629095592+148.65093890469194j),(8.676774306802251-271.29439146787126j),(176.3710634369038+325.90455226345796j),1.2000000000000002
(-76.74748584721286+11.268120501670154j),(399.76276229497313+38.56386059801841j),(-64.54833254417687-780.2812771986809j),(-552.3707787918131-2113.0645069043167j),(39.35055064343688-204.6870585957464j),(-257.8680677460322+510.3738274730765j),(-27.35577988919375-134.83035671780118j),(141.80589988119803+173.87331116300152j),(-218.3394972033032+54.76793725401199j),(144.0794071407736+185.591045780645j),(-737.7517060938885-26.46401680581084j),1.3
(229.1151416647047-20.908392799244105j),(115.45642655105986-123.52917875918877j),(-65.68384376559521+550.2998016552758j),(-188.35938847194822-1178.0245872671628j),(13.071740616394104-101.83811535500183j),(-113.36020539847586+26.3812257260803j),(39.16046194180626-337.76056173444965j),(631.9009251307903-129.05951373699077j),(-8.144846033408362-197.44142744286648j),(-53.567432341157556+36.63932206690469j),(-65.45400828015705+321.00710483511773j),1.4000000000000001
(-207.2693293254591+206.72913616676962j),(559.8587680334449-370.1584853710775j),(-276.0546303387738-451.7926027214245j),(63.614485080650326-717.1890978103067j),(-363.64335028766607-188.10321438092592j),(-175.0707955965364-175.15588747923152j),(-608.5527322014777+14.585838003722515j),(130.10714507517457-697.3434543565625j),(404.02516304455025+163.07741832661594j),(32.9465166646691+60.76116607056662j),(-391.24322620214053-181.65127543040037j),1.5
