Fp1,Fp2,F7,F3,Fz,F4,F8,FC5,FC1,FC2,FC6,T7,C3,Cz,C4,T8,CP5,CP1,CP2,CP6,P7,Frequência
(133.27494217736128+0j),(294.0850566286287+0j),(-17.947527157859064+0j),(-27.933496393923413+0j),(10075.341924139071+0j),(3597.2024654016186+0j),(-27.61292751042381+0j),(514.0329118019717+0j),(-501.66970827212685+0j),(984.9716192761175+0j),(-559.3369145473227+0j),(-54.72326588456183+0j),(-827.7270452821857+0j),(351.6983073604756+0j),(113.05095020729996+0j),(461.8194671787013+0j),(1103.5154819907464+0j),(-1041.53149228864+0j),(339.8189539200728+0j),(183.38816484070034+0j),(323.65293008635274+0j),0.0
(212.12169431386397+580.1326690903057j),(539.5097148671965+148.7926357279113j),(62.318874448216974-178.77473121647682j),(-199.6167390217484-166.45719777080254j),(10694.895272770944+319.78508912591633j),(2672.863840107828+297.6052749647835j),(-117.83402680591573-62.761507643076996j),(76.43371505505601-91.37201103630198j),(-163.96785182262565+241.91613615145437j),(907.5006780605675+98.61069367430822j),(-266.3075188353753+286.49333831341875j),(-635.2186193422393-84.01301952889595j),(-21.429851105327362+149.20151147619652j),(386.6009862089403+172.0167471778713j),(524.1237697110239-111.15198394992419j),(-272.06609946967944-113.09150421620393j),(697.2328507857126-259.6207682186374j),(-463.0513307632453+332.7374428424378j),(-88.05088041301192-46.735039567445256j),(-224.80493108447556+289.0590982978764j),(398.0073401154349+20.229513183705752j),0.1
(864.8271178641985-46.32591722588431j),(-316.7395462026385+13.264131063454425j),(-734.9142555619039+253.05909636287282j),(-296.3712476486836+108.595673474396j),(10241.832960139105+946.8765986612631j),(3636.223487264669+367.31215162148555j),(64.72719346997948+59.79249558999669j),(55.56872556706362-816.3720304620226j),(69.0911860783257+333.75503309026146j),(640.4001432773971+595.0274499430142j),(-385.2608269104882-77.14983309643694j),(-51.93415732597996+356.75946708415654j),(-141.3254117865592-336.90594391731474j),(-312.94322596879107+156.08119755224402j),(266.7056782766915-1.794666752934937j),(264.52294436537875+328.64074926673703j),(797.2948259225532-238.07728780611683j),(168.04664017524652-135.1890806998677j),(380.14119057343-185.11769987739652j),(-134.10536958822956+228.75376980160812j),(991.0160993619054+149.88552538232452j),0.2
(-395.7731596003339+392.42613483727865j),(-22.928038996142142-62.83364714784119j),(-66.97700891783633-538.9244043252069j),(54.09722789176132-164.93108477057146j),(11717.595357866994+1965.8499560240903j),(3378.0884984496206+119.37432415790819j),(244.84247802009395+800.6514895307761j),(-618.832624943559-316.72659800283355j),(100.05718813772323-235.21665741949437j),(447.9658931400188+327.4962706578623j),(391.574913138125-524.8542928573031j),(103.57048592541179+12.293433141965917j),(368.60377789250526-247.20968331002615j),(-55.1728588319664+164.96739826932952j),(33.00099247561438-132.6819438466414j),(212.47221585442446-140.64115193299295j),(766.2748283999504-80.02857565905907j),(298.3303112106212-936.0887393149571j),(29.91154927575191-363.59188612924174j),(204.91297082170166+277.8090481196813j),(290.37489742147966-672.7947220156531j),0.30000000000000004
(-90.67351494464728+422.31339946395804j),(85.3680535347716+148.370121309135j),(118.72136696891789-496.245819228731j),(-127.72554236977467+42.93105458750307j),(12768.169502871115+2022.9415302276225j),(3722.044901936816+685.4887992336385j),(162.4784915763955-268.52417890082415j),(480.4602689889279-758.8657412451362j),(26.311047865524113-176.21420784083784j),(1209.164989373251+541.989434176112j),(-226.05857387358907-557.9367342584532j),(219.48527072930546+81.82463296456068j),(677.4392116877627+104.13123361683594j),(-94.91277596832713+267.84703629303164j),(-47.0751021424326+115.0149286981328j),(-254.42142661805423+146.88913416196215j),(1247.0551645787768-115.16018738176213j),(392.7767261099039+624.6902079174092j),(270.0959483199464+30.689048992986173j),(-5.005330426724855-144.52554557363564j),(660.2649617015429+37.39227858996967j),0.4
(523.0029537571564+396.1374980635957j),(-418.8475832462065+54.2176574506308j),(-274.80514871379467+165.25371780378578j),(-206.489610890783+32.86062931259389j),(14584.84266260588+3467.3204227396395j),(3701.9892313632763+761.7577494012102j),(518.9359708329566-2.9582161649955054j),(153.65318715118323+989.8080127993297j),(129.8380893147903+458.93641024062885j),(1057.3536278782854+633.9334965475244j),(254.91970851261982+259.2690507817464j),(-334.72113984489863+127.57374034904791j),(-82.15462648021143-236.86541206110604j),(-233.2864859194482+291.55647462031703j),(-264.9669528267058-41.96879189932051j),(15.400812372065111-459.74523886013674j),(918.2067081135451-216.07639692574682j),(-181.4977792789349+297.6280096251677j),(128.8592881707574+82.55945013091491j),(98.23725395993122+45.55894238774812j),(617.7951770114205+48.64518482886131j),0.5
(-527.1961658572511+42.50655073383968j),(213.05168342269866+303.54606182247375j),(-35.967611578815955-134.9206940828164j),(142.89008175704106+216.50375817322274j),(18013.331359299267+5137.907773787729j),(4155.759463311684+924.3340164081396j),(276.4195660470175-65.12907376655349j),(125.74465604626613-228.15547013550733j),(223.20484120851904-22.507208925094695j),(1028.5862205145418+1033.3655447005672j),(-245.96022950274912-94.72751615690868j),(164.4049272225058-159.17134969583861j),(-186.6717329410106-87.95271923917875j),(65.2063264883893-176.7960150249429j),(-34.62591575102505-208.6648162055383j),(183.54891754520486+419.03051232780797j),(555.4259738048296-423.6906429471757j),(564.0096249698336-339.0448868469779j),(350.35737616354436-376.5290811586937j),(137.51853100491581-231.55853333775013j),(707.6656824620917-393.4300279251289j),0.6000000000000001
(-303.61853260223415-117.39978729163641j),(-321.78211813907234-175.51793145583102j),(225.84773530857723-348.2605170128071j),(-54.077345459913076-417.2832857508662j),(25593.8818028314+9384.916270810314j),(3980.338996792607+283.5571543577528j),(592.0975286884197+398.29233581450103j),(-633.9505428363059-58.03802407499144j),(31.763465923034733+158.51431405928255j),(1073.4518920249568+710.5074187757372j),(95.5594714658913-62.971467969318056j),(-217.85620643293674-285.7645666328951j),(-369.3640334276704+185.29848052350934j),(-188.66141098500333+167.17509978999982j),(-133.83524674742557-143.25006982149995j),(90.45411857903476-144.63166773553803j),(690.9287358286809-123.3122438883191j),(-425.52286348058004+361.02258675127746j),(176.97993422507304-155.48792501248096j),(-3.5657168278380853-174.15488132611475j),(1011.5242237209642-581.3224154486353j),0.7000000000000001
(183.91137723329075-374.8249875758487j),(144.67066411194818-198.87868363388722j),(406.84380876476723+661.9358375906313j),(168.46550399962376+342.58579631867127j),(55586.52737768716+24552.035080798865j),(4839.330873732442+1272.8360454809663j),(315.1265617027281+270.5111943027455j),(235.7031143223736-513.2971763686803j),(-264.07388884731574+206.33634249194444j),(1345.6691440821874+1638.4332555884635j),(463.08251557593724-18.543030499657373j),(-309.98212008149767-182.85995207294744j),(28.986908197502927+136.66532803800692j),(-131.97543826574227+113.94608736247304j),(418.6720108348957-481.35720606697043j),(-159.78447845836487+133.69028003736094j),(578.4769597618636-593.0980326021867j),(-300.99031389647877-62.0001996621692j),(50.71096331516884-40.1589323473946j),(-278.9125487156054-25.48462021286909j),(426.88545303273827-347.46013469886066j),0.8
(-196.72705660434997+0.739475713980676j),(52.58625644005541+81.13105930132288j),(-360.77174175514307-880.9222462424422j),(-279.00852745725285-137.03481503893846j),(-84784.67246834698-48528.31747341066j),(6276.015783813098+1189.3643047433575j),(297.0471277669969+722.4276982576425j),(-356.92167971159233+322.5355721065478j),(-193.79355097003983-183.84217616654576j),(1442.4657771829704+1865.7877873556308j),(409.26282923736494+432.7308668794429j),(63.716307452346214+366.3017086345477j),(-197.2346331585436-939.017845557589j),(350.5289992093126-185.35468623522138j),(110.171002380507-17.029936915312533j),(96.98706149596521-107.42804563369324j),(524.8298863584628-914.7831376622198j),(-292.8304012041993-333.48507471449886j),(271.7280682218902+59.51363270068394j),(-163.39895820575293+5.896347153081601j),(584.5891055693912-896.5927395994574j),0.9
